time,returns,realized_vol,depth,spread,order_imbalance,vol_of_vol
0,0.0051671415301123265,0.007881201589886484,398225.79042691673,0.01856576783541071,-0.8886672143913434,0.0037934649248771786
1,-0.0011826430117118465,0.00773292945808073,454175.08054195205,0.019673440962596902,0.9715352116496268,0.0017586989782986885
2,0.006676885381006924,0.001021784136849925,410392.84084322857,0.020642948785875817,0.6000369628968345,0.0026449549840273966
3,0.015430298564080255,0.008349549041492814,516562.70704191795,0.0294686146164618,0.737618143262899,0.0013624320746771245
4,-0.0021415337472333595,0.013664145409108725,679576.779719287,0.012527826915132564,0.3885885562858922,0.0009671855904918019
5,-0.0021413695694918054,0.0036288394046160247,384343.6764288193,0.011536530084873401,-0.627899934382601,0.0018045403426135715
6,0.015992128155073913,0.015242413255252963,650123.0746652621,0.03236619742142975,-0.9379431151639355,0.000637399720250537
7,0.007874347291529088,0.012438874105421691,382749.18914796686,0.015373552581187017,0.7293132154720272,0.0010623922203526902
8,-0.004494743859349522,0.006328833390144811,372855.9181254674,0.007369646464229338,-0.20733869252775383,0.002591432599321068
9,0.005625600435859647,0.009292351813310763,622789.192751482,0.0151487005790013,-0.47227024792016015,0.0014863509845511615
10,-0.004434176928124623,0.017991609038205167,638290.4567011425,0.01669947264755999,0.12334591767788883,0.0027105140871218616
11,-0.004457297535702569,0.01366773906752933,627711.4905143981,0.03554962727725765,-0.1582029550485613,0.0022994119380174874
12,0.002619622715660341,0.01004391827449074,302630.3887672788,0.029248262123767375,0.303331991375114,0.0038511540620191154
13,-0.01893280244657798,0.00881158341519508,430107.35328919237,0.03147520616632242,-0.03241353389097279,0.002524337285576046
14,-0.01704917832513033,0.010383045352258298,623448.2888004982,0.02819973642346786,0.39446628088054125,0.0031142180702793147
15,-0.005422875292409727,0.007441182210288483,506231.2760845842,0.029462436716153142,0.7068465390182859,0.0024018846631275463
16,-0.009928311203344238,0.0005237475285950737,338946.0730703804,0.01311917873419682,-0.6088859780884219,0.002311393501078073
17,0.003342473325952739,0.020210889552673653,568747.6908688162,0.018013978446465156,-0.3411342388690264,0.003164733042113315
18,-0.00888024075521211,0.010776624995997007,392778.91115127946,0.010100846869764512,-0.1263688268587222,0.002668797465865265
19,-0.013923037013352915,0.011990736325612686,769178.7272588317,0.017895119694629667,0.9241168960552764,0.0022100636129574283
20,0.014856487689215542,0.009710461250615457,731726.2193627388,0.02684104990934741,-0.26933277290502944,0.0022056546659297177
21,-0.0020577630048653566,0.006324415996377061,590614.6139533351,0.02134583284812247,-0.2378003008147409,0.002538229311830416
22,0.0008752820468792384,0.009070377595256147,704151.0057154661,0.033114808189602954,0.3069450459191223,0.001328626480540115
23,-0.014047481862134567,0.0020030261890284437,509718.70251850714,0.008585842077727808,-0.1616005802201015,0.0012862005338613019
24,-0.005243827245251827,0.021385432490266525,614815.6241562524,0.025002383506982397,0.9024474912792104,0.0034254059323729326
25,0.001309225897098661,0.0038274400078880198,721658.0442953112,0.0075169719813068196,0.7889375209508878,0.003864413663859998
26,-0.011309935774223028,0.004840168580764102,536824.8022691469,0.020941764691736423,0.026817555551345906,0.001071117541589834
27,0.003956980183456719,0.007798703978067998,461721.92427285743,0.02740333422556479,0.2895504678956997,0.0013310055675602958
28,-0.005806386899188051,0.016440378624261887,244306.70627343262,0.017854974331757808,-0.8839388762327589,0.003142522819504145
29,-0.002716937497932768,0.01007254499631327,487529.9711417759,0.02551126604086956,0.3914610560647962,0.0025335199931423966
30,-0.005817066122293969,0.0038193210198476883,623513.4776843467,0.01040267665167066,0.41440174589806444,0.002676428105320922
