time,position
0,-0.8189348507772521
1,0.3519487264106008
2,1.1091357023728556
3,-0.825560424396514
4,-0.6820288368420014
5,0.2491300514822347
6,0.4630207980007224
7,-0.19843755438992
8,0.40233973015672153
9,0.8535492233030144
10,0.17330773648608377
11,-0.691475180172512
12,-0.020936948736967137
13,1.756239580296931
14,0.3330702165809782
15,1.2402357032749087
16,-0.5143388101167131
17,0.2626409702128776
18,0.7943150424515457
19,1.4977576787314084
20,1.2275887297394927
21,-1.119267303115432
22,1.1518523758568018
23,1.6860002448134292
24,-0.5748944828366166
25,-0.8944669797383765
26,-0.024434616561998607
27,0.17949770308305615
28,-0.3500691615081102
29,-1.186734822377566
30,1.472406014078178
31,-0.8599606959354851
32,-0.5069275744017473
33,0.10912545276536152
34,-1.4724800970934258
35,-1.548894101695797
36,-0.4316856999315637
37,0.8256301846090882
38,0.18800351304839352
39,-2.0593959595207587
40,1.3894835075163587
41,0.797409368371907
42,0.19101382546092274
43,0.16419406561129277
44,0.6734162274182618
45,2.3263188578402736
46,0.880524198307361
47,0.2961675598730862
48,-1.227101013088154
49,0.1645190320621318
50,0.7733121741531247
51,-0.11518412374586905
52,-0.52278550887315
53,0.5536457842364676
54,-0.9880575685508731
55,0.8679636874135729
56,-0.43556343755273974
57,-2.122463043405368
58,-0.4547539655096902
59,-0.05712474785766716
60,0.5524938583395987
61,0.4370511986010468
62,-1.2904505648265217
63,0.12209403251346027
64,-0.534005039848261
65,-0.36022126890018846
66,-0.9982320954941476
67,-0.05090700361592938
68,3.1324346948578454
69,1.8564423155838048
70,-0.9987056858555311
71,0.0659443360040075
72,-0.3139856034390785
73,0.14202665696576147
74,0.9163091065034594
75,-0.12932245242773996
76,-0.7122310746618156
77,1.1564840551186344
78,-1.23403225245565
79,0.1893038586204417
80,-1.4861030495714416
81,-1.0260731593738686
82,0.7447887833642115
83,-0.679391435049952
84,-1.8765617098033378
85,-0.7226904565912454
86,-0.8297709706124513
87,-1.2623657726990998
88,0.5500867140754316
89,-1.5468126815619638
90,-0.5879374818766072
91,0.13340783876358833
92,-0.3427899010227776
93,-0.4041906136129543
94,-0.7227061357027543
95,-1.2187866231239033
96,-0.6367608348220677
97,0.6575594093712037
98,-0.4340451675748504
99,0.16692088277133732
100,1.117118054359772
101,0.5998041265058607
102,-1.2762798618453608
103,0.44795988234748774
104,1.0476695150689883
105,-0.582199254768786
106,-1.5856241396810782
107,-0.44069558264569253
108,0.1880557122123576
