time,inventory_budget
0,0.5937988921022275
1,1.0694136787174506
2,1.5504666683228692
3,0.181187124975985
4,0.19308605996373274
5,1.2302018058333755
6,1.0708516928193408
7,1.201715114749409
8,0.8420842214672779
9,0.35746679941009596
10,0.7504044995242961
11,1.4680015905175965
12,0.8645232299416525
13,0.8671213990661205
14,0.21118000196052322
15,0.45865600460639
16,1.3330501491740887
17,0.9221715835088902
18,1.2973605656966574
19,0.7738901885310874
20,0.5596653886031004
21,0.9217229257344478
22,0.8281140642601605
23,0.7500729471652181
24,0.7578971850147309
25,0.9595185692106091
26,0.8525294114614379
27,0.7203195018513289
28,1.5414143119849884
29,1.1373865074495697
30,1.0475448262345604
31,0.9800363793895506
32,1.1996843999486553
33,1.159547030009037
34,0.6897162534709664
35,0.5403189624617601
36,0.3177746247838009
37,1.5375793334633836
38,0.8664070184343823
39,1.1776178614504988
40,1.0606183806466851
41,1.2737676214984845
42,0.9806386410652896
43,0.6016092791712275
44,0.6888649540001119
45,0.894772533698914
46,0.5244189763562113
47,0.743701786722477
48,0.6403532719409455
49,0.901393969915033
50,0.8511903406990512
51,1.0358445258563806
52,1.2563402033068698
53,0.9272154442620475
54,0.5492770481762728
55,0.3854987866572347
56,1.0486953428426495
57,0.8003501404214712
58,0.9527915833408347
59,1.0988623465456608
60,1.4329531041494623
61,0.47574835393222503
62,0.6962627123641816
63,0.9744297118146705
64,0.657941924419974
65,0.5532832095953336
66,1.3928732106046668
67,0.6856128878466861
68,0.6072444336529982
69,0.6555551535457409
70,1.3257981385238917
71,0.7913855049853491
72,0.5843151837306553
73,0.7479514297450793
74,0.9855488014373467
75,1.2675312986818827
76,1.242330543767845
77,0.7666692982133676
78,0.8406627620986795
79,1.630865221293727
80,1.29870535914445
81,0.9244659427205202
82,0.3114542679559822
83,0.8623514024793545
84,0.6020141913582289
85,0.7411955842656825
86,0.7104004534681094
87,0.9306375511548772
88,1.020927884970213
89,0.7805257475244063
90,0.6166881069237841
91,0.9463206198148273
92,0.8505163668681526
93,0.43073824185652
94,1.1822712827578732
95,0.7813458292143367
96,0.9191643255606778
97,0.9340460890466534
98,0.9953677271518883
99,1.043812996410684
100,0.6086206696709693
101,1.0937075477646625
102,0.8967599796613598
