time,liquidity_stress
0,0.3249162991109812
1,0.5185963724409977
2,0.2383962051071687
3,0.4711998177742264
4,0.38733576908279843
5,0.25566570324324656
6,0.6580772192310224
7,0.6693254722402038
8,0.306092257552805
9,0.4567633071612546
10,0.5088637366144898
11,0.13704764257443008
12,0.22058145472119356
13,0.7572568872733563
14,0.28697462069948587
15,0.7516366216503392
16,0.23091726512333383
17,0.6317655554280805
18,0.43773937849793293
19,0.46584674616912664
20,0.8711871827067929
21,0.2491626731362636
22,0.6189596392522142
23,0.6106979327115645
24,1.1709146778332755
25,0.28457383595362284
26,0.37480304129931263
27,0.6631844571665109
28,0.45994722815962735
29,0.4073898086536501
30,0.6915022976646331
31,0.44668631273925585
32,0.32162818592371645
33,0.6452420309523963
34,0.5750576016055722
35,0.4374306808788047
36,0.4279396962479957
37,0.3170186790118874
38,0.6450193710230684
39,0.42797843654912504
40,0.346030819285266
41,0.24288896656162906
42,0.5784308715817672
43,0.39828340421740055
44,0.09746493720218569
45,0.2593462420711907
46,0.4532806128682035
47,0.45889246701656644
48,0.45129154992586984
49,0.42344877768648775
50,0.20482925545271774
51,0.3250902951701897
52,0.7367553972968203
53,0.7072456253706132
54,0.6155903564688102
55,0.5979005208081337
56,0.6809511816130983
57,0.2758410525015799
58,0.5065856733513898
59,0.27594656987060795
60,0.27941710604694536
61,0.5736129875493883
62,0.6893500878271751
63,0.4612301731154924
64,0.8298000864419004
65,0.5423568654091073
66,0.3446428935166977
67,0.2826542896252656
68,0.7036262968369432
69,0.525691823147963
70,0.6352094756338964
71,0.03159265209064832
72,0.5489344068693877
73,0.3976451623007526
74,0.2212480928166271
75,0.48746353141031495
76,0.7183627067308911
77,0.9532456572839437
78,0.548430481464502
79,0.35817068200769553
80,0.3460994886963066
81,0.6926264724130399
82,0.3006251761694215
83,0.6244854759055526
84,0.5587362379919235
85,0.5366202783765759
86,0.1863762820238415
87,0.42860835955473503
88,0.20836844172847746
89,0.38235051973664685
90,0.6834277323041025
91,0.746211580671113
92,0.5427897298981771
93,0.38593189751320295
94,0.8176198664720837
95,0.383281873248764
96,0.27286270163819915
97,0.6392965935833567
98,0.5915468085139414
99,0.39148481781483185
100,0.5200450459139134
101,0.5884319977703546
102,0.5407357682103633
103,0.5917877909929161
104,0.39885702768800513
105,0.6052490088479198
106,0.5035115675166564
107,0.40563789569272934
108,0.45082304755334507
109,0.4804196328151164
110,0.21092433258774418
